Device Type;Brand Name;RAM;Storage Size;Screen Size;Cost;Supplier
Tablet;SAMSUNG;4;50;6;149714;Shyles
Laptop;SAMSUNG;2;300;13;436511;CC-Sly
Laptop;LENOVO;7;500;17;200269;Mat-IT
Tablet;DELL;1;200;7;188457;Yellow-Ko
Laptop;SAMSUNG;6;300;14;207444;Yellow-Ko
Tablet;ASUS;1;30;7;119921;Yellow-Ko
Laptop;ACER;7;750;14;291696;Adams
Tablet;HP;3;150;9;108220;Oshod-Connect
Tablet;SAMSUNG;4;200;8;103326;CC-Sly
Laptop;ASUS;7;500;17;249603;CompSer
Laptop;SONY;3;500;14;456995;Merget
Tablet;SAMSUNG;5;200;7;98398;Shio
Laptop;HP;4;500;12;324446;Adams
Tablet;ACER;4;150;6;82557;Adedex
Tablet;HP;5;30;6;111801;Merget
Tablet;SHARP;5;200;6;133418;Cler-IT
Tablet;HP;3;150;8;94566;Alig-IT
Laptop;SHARP;8;1000;10;237518;CompSer
Laptop;LENOVO;3;1000;12;422988;Adams
Tablet;SONY;4;150;7;155894;Cler-IT
Tablet;ASUS;1;50;6;185325;BootStrap
Tablet;HP;3;200;9;172129;Yellow-Ko
Laptop;ASUS;7;350;10;386707;Alig-IT
Tablet;ASUS;1;150;9;72029;Insert-Media
Laptop;ASUS;5;350;12;446871;Cler-IT
Tablet;ACER;4;50;7;105880;Tex--y
Tablet;HP;3;150;8;63741;Bouiy
Laptop;SONY;4;350;13;247679;Fill-Sol
Tablet;ACER;3;150;9;73270;Insert-Media
Laptop;SHARP;3;1000;12;471713;Formaay
Tablet;ACER;1;150;9;138852;Alig-IT
Laptop;ACER;6;500;16;376582;Paint-UT
Tablet;ASUS;4;50;7;114369;Center-tech
Laptop;SONY;7;350;11;438250;K-Boys
Laptop;SAMSUNG;3;750;17;463920;IT-Solu
Laptop;ACER;7;500;17;458358;Shyles
Tablet;SHARP;2;30;8;133270;Jumbo
Laptop;ACER;3;1000;17;471416;Cutti
Tablet;LENOVO;5;50;9;114285;Mat-IT
Laptop;LENOVO;3;500;11;416724;IT-Solu
Laptop;ASUS;5;350;10;308250;Fill-Sol
Tablet;HP;1;30;8;147780;Shyles
Tablet;HP;4;150;9;186051;CompSer
Laptop;ACER;3;500;14;327761;Adedex
Laptop;ACER;2;750;12;317607;Cutti
Laptop;DELL;5;1000;15;393289;Adams
Tablet;SONY;2;30;9;175339;Slams
Laptop;LENOVO;3;500;12;325131;Cutti
Tablet;DELL;3;30;6;139559;Bouiy
Tablet;TECHNO;1;50;8;153243;Insert-Media
Laptop;ACER;2;300;10;441254;Adedex
Laptop;ASUS;7;300;17;281558;Fill-Sol
Tablet;DELL;1;30;9;111996;Formaay
Laptop;SAMSUNG;5;750;12;296586;CC-Sly
Laptop;ASUS;3;750;11;250971;CC-Sly
Laptop;DELL;4;1000;11;348664;Adams
Laptop;SHARP;7;300;11;209373;Oshod-Connect
Tablet;ACER;5;200;9;152956;Formaay
Laptop;SAMSUNG;2;1000;14;343717;Oshod-Connect
Tablet;SHARP;5;150;7;187578;Formaay
Tablet;DELL;3;200;9;174658;Jumbo
Tablet;SAMSUNG;3;50;9;173860;Merget
Laptop;DELL;8;300;16;312807;K-Boys
Laptop;ACER;5;1000;10;422428;BootStrap
Laptop;SONY;8;500;10;351871;Bouiy
Laptop;TECHNO;6;750;10;283561;Insert-Media
Laptop;TECHNO;2;250;12;222944;Merget
Laptop;HP;5;250;15;323798;Oshod-Connect
Laptop;SHARP;5;1000;13;485264;Shyles
Laptop;HP;2;500;16;267167;BootStrap
Laptop;DELL;4;250;11;258602;Cler-IT
Tablet;SHARP;2;30;8;103655;Cler-IT
Tablet;TECHNO;1;200;6;87006;Cutti
Tablet;SAMSUNG;4;50;9;111895;CC-Sly
Laptop;SAMSUNG;2;500;13;405973;Adams
Tablet;ASUS;5;30;8;92067;Slams
Laptop;TECHNO;8;300;15;237514;K-Boys
Tablet;HP;2;30;6;64742;CompSer
Laptop;LENOVO;8;750;13;247657;Center-tech
Laptop;ASUS;7;1000;16;327457;Oshod-Connect
Tablet;SONY;3;150;9;148222;Formaay
Laptop;SAMSUNG;5;250;11;271221;K-Boys
Laptop;LENOVO;5;250;11;429882;CompSer
Laptop;HP;4;350;12;447487;K-Boys
Laptop;SONY;2;350;17;256595;BootStrap
Tablet;TECHNO;4;30;9;93192;Bouiy
Laptop;SONY;2;750;11;472570;Tex--y
Laptop;SHARP;6;300;17;205534;Formaay
Tablet;ACER;5;200;6;181935;Paint-UT
Tablet;SHARP;2;150;6;148154;Mat-IT
Laptop;HP;3;250;12;226539;Cutti
Tablet;TECHNO;4;150;9;148028;CC-Sly
Laptop;LENOVO;3;750;14;324007;Bouiy
Laptop;LENOVO;6;250;12;488864;Insert-Media
Tablet;SONY;5;30;9;56178;Alig-IT
Tablet;HP;4;150;7;198817;BootStrap
Laptop;SHARP;3;350;14;441614;Cler-IT
Laptop;SONY;6;250;16;284821;Slams
Tablet;LENOVO;4;200;9;66773;Adedex
Tablet;SAMSUNG;5;50;8;109406;Shio
Tablet;SONY;5;50;9;65075;Fill-Sol
Tablet;SHARP;5;30;9;116742;Paint-UT
Laptop;HP;3;350;14;410372;Cler-IT
Tablet;SONY;4;50;9;157098;Yellow-Ko
Laptop;HP;6;350;15;493735;Center-tech
Laptop;DELL;8;250;15;399804;Center-tech
Laptop;ACER;4;300;14;310906;Merget
Laptop;DELL;4;350;15;237032;Bold-Sol
Tablet;LENOVO;5;150;7;184107;Shio
Tablet;TECHNO;1;200;8;126452;K-Boys
Tablet;SHARP;5;30;8;65816;IT-Solu
Tablet;LENOVO;5;30;6;189738;Fill-Sol
Tablet;DELL;2;50;8;115056;BootStrap
Tablet;ASUS;5;150;7;139365;BootStrap
Laptop;HP;6;1000;11;405966;Insert-Media
Tablet;ACER;4;200;9;168650;Shio
Tablet;ASUS;5;150;9;101272;BootStrap
Tablet;LENOVO;5;150;8;132179;Formaay
Laptop;SONY;5;250;16;210790;IT-Solu
Tablet;SHARP;2;50;6;95188;BootStrap
Tablet;LENOVO;4;50;6;79732;Center-tech
Laptop;DELL;8;750;14;418917;Fill-Sol
Tablet;HP;4;50;7;76631;Tex--y
Laptop;HP;3;300;10;452935;BootStrap
Tablet;LENOVO;3;200;6;113069;Fill-Sol
Tablet;ASUS;5;30;9;173282;Mat-IT
Laptop;LENOVO;8;1000;10;307900;Slams
Laptop;SONY;4;250;16;360280;Alig-IT
Tablet;ACER;5;50;6;84550;Center-tech
Laptop;ASUS;7;1000;15;294504;K-Boys
Laptop;SAMSUNG;5;300;12;308330;Adedex
Laptop;LENOVO;2;300;14;255003;Shio
Laptop;TECHNO;6;350;14;240420;Bouiy
Laptop;SHARP;4;500;16;380342;Merget
Laptop;ASUS;8;750;11;469712;Fill-Sol
Tablet;LENOVO;2;30;8;66767;K-Boys
Tablet;SONY;3;30;6;111628;IT-Solu
Tablet;TECHNO;2;50;9;103779;Bold-Sol
Laptop;SHARP;5;350;13;462857;Cler-IT
Laptop;LENOVO;7;500;12;390259;Mat-IT
Tablet;ACER;4;30;6;85294;Tex--y
Tablet;ASUS;2;50;8;172496;Cutti
Laptop;DELL;8;350;14;235370;Cutti
Laptop;LENOVO;3;250;15;349585;Slams
Tablet;ACER;2;150;6;182132;CC-Sly
Laptop;HP;7;750;11;410854;Merget
Tablet;ASUS;5;200;7;129496;Paint-UT
Laptop;SONY;7;300;11;444699;Formaay
Laptop;ACER;5;300;13;393011;CompSer
Laptop;DELL;4;500;17;474830;Oshod-Connect
Tablet;LENOVO;1;150;7;158799;Shyles
Laptop;LENOVO;8;300;17;225343;CC-Sly
Laptop;HP;5;750;15;442283;Shio
Tablet;LENOVO;1;50;7;91814;Alig-IT
Tablet;LENOVO;4;50;6;157309;Bold-Sol
Tablet;ACER;3;50;8;173846;Bold-Sol
Tablet;ASUS;4;200;6;60780;Bold-Sol
Tablet;SAMSUNG;2;200;7;183966;CC-Sly
Tablet;LENOVO;3;50;7;110604;Bouiy
Tablet;ASUS;3;50;6;66948;K-Boys
Laptop;TECHNO;6;1000;14;231557;Merget
Tablet;ACER;4;30;8;170128;Insert-Media
Tablet;SONY;4;150;9;56784;Tex--y
Laptop;SAMSUNG;5;500;15;293095;Cutti
Tablet;SAMSUNG;4;200;9;155660;Adedex
Laptop;ASUS;4;750;16;324088;Shyles
Tablet;SONY;1;150;7;105829;IT-Solu
Tablet;ACER;4;150;8;128878;Bold-Sol
Laptop;TECHNO;8;250;17;341533;Adedex
Tablet;SAMSUNG;1;50;9;158391;Paint-UT
Tablet;SHARP;2;30;8;71869;Fill-Sol
Tablet;TECHNO;1;30;8;125158;Insert-Media
Laptop;LENOVO;8;500;15;485333;Adams
Tablet;TECHNO;3;50;7;94929;IT-Solu
Laptop;SONY;2;250;12;258758;Shio
Tablet;TECHNO;3;200;7;81489;Tex--y
Laptop;HP;4;350;12;439076;IT-Solu
Tablet;ACER;4;200;8;144946;Slams
Laptop;TECHNO;6;300;14;322339;Cler-IT
Laptop;DELL;7;350;16;416166;Merget
Tablet;ASUS;3;150;7;103653;Slams
Laptop;ASUS;2;1000;15;497434;Formaay
Tablet;TECHNO;2;200;9;63760;Tex--y
Tablet;ASUS;5;150;6;109217;Mat-IT
Tablet;HP;5;200;8;151489;Shyles
Laptop;DELL;4;500;15;235297;Shio
Tablet;ACER;1;200;8;185645;Paint-UT
Tablet;SONY;5;150;9;95885;Yellow-Ko
Tablet;DELL;5;150;6;142640;Center-tech
Laptop;HP;2;750;12;462970;Mat-IT
Laptop;DELL;6;250;15;423143;Slams
Laptop;SAMSUNG;3;250;14;250972;IT-Solu
Laptop;TECHNO;3;250;13;339334;Mat-IT
Laptop;SAMSUNG;6;350;12;295111;Merget
Laptop;DELL;3;500;16;398034;Adedex
Tablet;ACER;2;150;6;165400;Fill-Sol
Tablet;LENOVO;3;150;8;144735;Center-tech
Laptop;LENOVO;6;1000;17;206723;Adams
Laptop;DELL;7;1000;13;273110;Formaay
Laptop;HP;6;350;14;497458;Paint-UT
Tablet;SAMSUNG;4;200;8;176527;Insert-Media
Laptop;SONY;8;250;11;497354;Oshod-Connect
Laptop;SHARP;8;1000;11;211781;CC-Sly
Tablet;ASUS;4;150;8;135418;IT-Solu
Tablet;ACER;5;30;6;60985;Merget
Laptop;TECHNO;5;300;15;429237;Bouiy
Laptop;SONY;7;1000;15;253371;Jumbo
Tablet;LENOVO;2;50;9;131803;Insert-Media
Laptop;LENOVO;2;1000;11;450723;Oshod-Connect
Tablet;DELL;3;200;9;83089;Insert-Media
Tablet;TECHNO;1;200;9;99873;Paint-UT
Laptop;SONY;8;750;13;429859;Bold-Sol
Laptop;DELL;4;300;14;301216;Tex--y
Tablet;SAMSUNG;2;200;7;87979;Jumbo
Laptop;ACER;8;250;12;447329;Center-tech
Laptop;HP;5;250;11;497059;Center-tech
Tablet;SAMSUNG;4;150;9;90126;Shyles
Tablet;SAMSUNG;2;50;6;110006;Merget
Laptop;ACER;5;750;14;409232;Bouiy
Tablet;SONY;3;50;9;53237;BootStrap
Laptop;SHARP;8;300;12;302716;Alig-IT
Tablet;LENOVO;4;30;7;162583;Shio
Tablet;TECHNO;4;50;6;163079;BootStrap
Tablet;ACER;5;30;8;187355;Insert-Media
Tablet;ASUS;4;150;6;72533;Adams
Tablet;TECHNO;3;30;8;61457;Alig-IT
Laptop;SHARP;3;1000;15;228665;Oshod-Connect
Tablet;ASUS;5;30;7;66578;Shio
Laptop;SHARP;7;500;11;462221;Center-tech
Laptop;ASUS;3;350;10;451677;Adedex
Laptop;ASUS;4;750;12;447912;Merget
Laptop;LENOVO;3;350;10;306212;Insert-Media
Laptop;ASUS;7;500;16;412247;BootStrap
Tablet;SAMSUNG;4;50;6;174978;Tex--y
Laptop;HP;4;250;10;454898;IT-Solu
Laptop;ACER;8;750;15;482465;BootStrap
Tablet;HP;2;150;8;169473;Yellow-Ko
Laptop;SAMSUNG;4;300;15;307450;Slams
Laptop;ACER;7;1000;12;257079;Oshod-Connect
Laptop;HP;7;350;15;425493;Fill-Sol
Tablet;DELL;5;50;6;101610;Insert-Media
Laptop;TECHNO;3;500;13;312433;Paint-UT
Tablet;LENOVO;4;200;7;165346;Yellow-Ko
Laptop;SAMSUNG;4;500;12;466485;Oshod-Connect
Laptop;LENOVO;2;500;16;274921;Bouiy
Tablet;SHARP;1;30;7;90897;Oshod-Connect
Tablet;TECHNO;3;150;9;133043;Cler-IT
Laptop;ACER;6;350;16;335332;Cler-IT
Laptop;LENOVO;6;300;17;322019;Jumbo
Laptop;SHARP;5;750;12;314164;Insert-Media
Tablet;TECHNO;4;30;9;89574;Cutti
Tablet;HP;2;200;6;163415;Cutti
Laptop;TECHNO;6;750;13;408499;Slams
Tablet;ASUS;3;30;6;73682;Yellow-Ko
Laptop;TECHNO;3;350;13;285985;IT-Solu
Laptop;ASUS;2;750;13;461492;Shyles
Tablet;SONY;5;30;6;81826;Paint-UT
Laptop;TECHNO;5;1000;10;467599;Insert-Media
Laptop;LENOVO;5;1000;17;314019;Shyles
Laptop;TECHNO;5;250;12;343640;Tex--y
Tablet;SAMSUNG;5;200;7;123634;Adams
Tablet;SAMSUNG;5;150;9;124707;Slams
Laptop;LENOVO;3;750;17;267379;CompSer
Tablet;ACER;2;150;7;123471;Formaay
Laptop;SAMSUNG;7;300;11;444845;IT-Solu
Tablet;DELL;2;50;6;188526;Shyles
Tablet;ASUS;2;50;9;173371;Fill-Sol
Laptop;ACER;2;250;10;327609;Shyles
Laptop;LENOVO;2;350;15;286178;Tex--y
Tablet;HP;4;200;8;124941;Fill-Sol
Laptop;SONY;5;1000;12;429470;Yellow-Ko
Laptop;TECHNO;8;300;14;351770;Paint-UT
Tablet;SHARP;3;150;9;164435;CompSer
Tablet;ACER;2;30;6;146188;Mat-IT
Laptop;SONY;5;250;10;374710;K-Boys
Tablet;SAMSUNG;3;50;9;93546;Bold-Sol
Tablet;SAMSUNG;2;200;6;145028;Oshod-Connect
Tablet;LENOVO;3;150;6;166756;Paint-UT
Tablet;SHARP;2;200;7;135097;Alig-IT
Tablet;SHARP;4;150;8;82580;Jumbo
Tablet;ACER;3;150;9;167550;Adedex
Tablet;DELL;3;50;8;80477;Jumbo
Tablet;SONY;4;30;6;166413;Paint-UT
Laptop;HP;8;350;10;373042;Shio
Tablet;LENOVO;2;150;7;177841;CompSer
Laptop;LENOVO;4;500;15;390628;Shio
Laptop;HP;2;750;10;471802;Bold-Sol
Tablet;SHARP;3;150;8;101220;CompSer
Tablet;LENOVO;5;50;8;96786;Merget
Tablet;SONY;3;200;8;119018;IT-Solu
Laptop;LENOVO;7;350;11;422482;Alig-IT
Laptop;HP;7;250;17;223271;Merget
Laptop;SAMSUNG;8;250;12;435986;Fill-Sol
Laptop;SONY;2;300;11;355097;Cutti
Laptop;ACER;5;500;16;294183;Formaay
Laptop;TECHNO;4;1000;12;263627;Merget
Tablet;SONY;3;30;7;96009;Center-tech
Laptop;DELL;7;300;10;458676;Formaay
Laptop;LENOVO;6;300;16;381761;Tex--y
Laptop;ASUS;6;500;10;485031;Slams
Laptop;ASUS;8;750;17;296266;Oshod-Connect
Laptop;SONY;5;350;15;267103;Shio
Tablet;SAMSUNG;3;50;9;169712;Adedex
Laptop;TECHNO;6;1000;15;416814;Merget
Tablet;DELL;3;50;6;150578;Mat-IT
Tablet;DELL;3;200;8;68866;Shio
Laptop;SHARP;4;350;12;279799;Cutti
Tablet;ACER;4;30;8;138723;Yellow-Ko
Tablet;ACER;1;30;9;118699;IT-Solu
Tablet;DELL;5;30;7;191076;Center-tech
Tablet;SAMSUNG;1;30;9;146632;Adedex
Tablet;DELL;1;150;7;136784;Fill-Sol
Tablet;SHARP;2;30;7;60896;Center-tech
